ID|Empresa /Caso|industria_inferida|industria_general|industria_inferida_en|industria_general_en
illMCyp4O9A|Enel: Management & Analysis of Meters Data|Utilities / Energía / Smart Grid|Energía|Utilities / Energy / Smart Grid|Energy
KiH7hVJKzns|ADP: Unmatched People Data for Extraordinary Outcomes|HR Tech / Nómina y Recursos Humanos|Transformación Digital|HR Tech / payroll and human resources|Consulting and Digital Transformation
9LhiUsg3knw|Musixmatch: How Content is Generated by Users|Media / Música / Crowdsourcing|Tecnología|Media / Music / Crowdsourcing|Technology
6CgqEzyWpeA|SundaySky: Personalized Videos in Real-Time GPU Spot|Media / Marketing Video Tech|Tecnología|Media / Marketing Video Tech|Technology
iwZLadQ3XpY|Riot Games: Data Ingest Pipeline for League of Legends|Videojuegos / Esports / Tecnología|Gaming|Video games / eSports / technology|Gaming
ooVtAAoSH2k|CrowdStrike: Telemetry Streams to Protect Cloud Endpoints|Ciberseguridad / SaaS|Tecnología|Cybersecurity / Saas|Technology
1aYoIZvabbk|OLX Autos: Building Developer Platform for Rapid Global Expansion|Automotriz / Marketplace de autos (medium.com, aws.amazon.com)|Automotriz|Automotive / car marketplace (medium.com, aws.amazon.com)|Automotive
fSV0u48sEVg|Social Quantum: Using Serverless in Gaming|Videojuegos / Gaming Tech / Serverless|Gaming|Video games / gaming tech / serverless|Gaming
ZcY8DG-785w|TMA 2020 Special Episode Reprise: Halodoc|HealthTech / Tele-salud|Salud|Healthtech / Tele-Salud|Health
jzKCg9Z5_8Q|Blackboard Anthology: AWS Environment with 120 Accounts|EdTech / SaaS educativo|Tecnología|EDTECH / SAAS EDUCATIONAL|Technology
PoYiSKUy8sE|Alert Logic: Scaling Storage & Delivery of Petabytes of Search Data|Ciberseguridad / Log Management|Tecnología|Cybersecurity / log management|Technology
W96L6ICcF3s|Samsung Electronics: Developer Portal using Serverless Container Services|Tecnología / Cloud / Contenedores|Tecnología|Technology / Cloud / Containers|Technology
rHLuQTO6eoo|Insider: Ingesting Billions of Data Points Daily to Power Real-Time Products|Medios / Data Analytics|Tecnología|Media / Data Analytics|Technology
unF9tdYjqvU|Nexthink: Going Global with API Gateway, Transit Gateway, Lambda, DynamoDB|Tecnología / IT Ops / SaaS|Tecnología|Technology / IT OPS / SAAS|Technology
tVjrkpjWG5o|Pason Systems: Petabyte Drilling Datamart on AWS|Oil & Gas / Industria de petróleo|Recursos Naturales|Oil & Gas / Petroleum Industry|Natural resources
plce6pRdx6o|Strikingly: Build a Website in 20 Minutes on AWS|Tecnología / Builder Web SaaS|Tecnología|TECHNOLOGY / BUILDER WEB SAAS|Technology
vp2Ipv2_uCg|American Heart Assoc: Serverless & AI Content Discoverable|Salud / Non‑profit Tech|Salud|Health / non -rofit tech|Health
sKksbPPDznM|Macquarie Bank: Securing Payment Websites at the Edge …|Finanzas / Banca / FinTech|Finanzas|Finance / Bank / Fintech|Finance
jg85DzUZ9Ac|Veritiv: Insights to Forecast Sales Demand on AWS Data Lakes|Logística / Supply Chain Analytics|Transporte y Logística|Logistics / Supply Chain Analytics|Transportation and logistics
ihB2dRYLOOI|UltraServe: Application Vending Machine with Runtime Event Control|Tecnología / Infraestructura SaaS|Tecnología|SAAS technology / infrastructure|Technology
BlCXEMp_lqY|Vizio: Smart TV Analytics at Scale|Electrónica / Smart TV / Analytics|Tecnología|Electronics / Smart TV / Analytics|Technology
aQFztbu0BG0|Discover Financial Services: PCI Compliant Data Science Platform|Finanzas / FinTech / Seguridad|Finanzas|Finance / Fintech / Security|Finance
5CwIt-Alqhg|Accenture: Blockchain Circular Supply Chain|Consultoría / Blockchain / Supply Chain|Transformación Digital|Consulting / Blockchain / Supply Chain|Consulting and Digital Transformation
U1kY6nSS2YQ|Amdocs: Tecnología Ecosystem for Telco with Kubernetes|Telecom / TelcoTech|Tecnología|TELECOM / TELCOTECH|Technology
hrhBOOrR5v0|PureWeb: Global 3D Streaming Platform|Media / Streaming Tech|Tecnología|Media / Streaming Tech|Technology
2e3vOxsHekE|Mueller Water Products: Water Intelligent Platform|Utilities / Agua Tech|Recursos Naturales|Utilities / Agua Tech|Natural resources
gD8pzUnXgsU|Liberty Mutual: Real-time Financial Closing on AWS|Finanzas / Seguros Tech|Finanzas|Finance / Insurance Tech|Finance
ww5fiygF6eg|Marathon Oil: Automating Drone Image Processing for Equipment Health|Oil & Gas / Automatización / Drones|Recursos Naturales|Oil & Gas / Automation / drones|Natural resources
LPZlrX2cNjo|RedBus: Optimized ML Models with SageMaker|Transporte / MobilityTech|Transporte y Logística|Transport / Mobilitytech|Transportation and logistics
JG5p-i8Cr2E|ZS Associates: Self-Service Enterprise Data Engineering Platform|Consultoría / DataOps|Transformación Digital|Consulting / Dataops|Consulting and Digital Transformation
cmlhEbm1kPk|DXC Munich Re: Amazon Connect + AWS ML Services|Consultoría / Seguros|Transformación Digital|Consulting / Insurance|Consulting and Digital Transformation
hEB1J9-iOqs|BristolMyers Squibb: Infrastructure-as-Code and AutoPTP|Pharma / HealthTech|Salud|Pharma / Healthtech|Health
A4Lfk1Zz1dE|Spot.io: Optimizing Cloud Infrastructure w/ Cost‑Aware Automation|Tecnología / Cloud Optimization|Tecnología|Technology / Cloud Optimization|Technology
KQ6Fg206O9U|VietJet: Defending Systems from Bad Bots|Aviation / Ciberseguridad|Aeroespacial|Aviation / Cybersecurity|Aerospace
D9qTotVJYss|HBO Max: Using Canaries for Outside-in Validation|Media / Streaming Quality Assurance|Tecnología|Media / streaming Quality Assurance|Technology
JRDGId6N49E|TRI-AD: Distributed Training Platform|Automotriz / Investigación IA|Automotriz|Automotive / Research IA|Automotive
bqZWYmRAka0|DBS Bank: Architecting Quant Pricing Engine with ElastiCache|Finanzas / FinTech / Banca|Finanzas|Finance / Fintech / Bank|Finance
mT4KDGRgo4k|Heimdall Data: Scale‑Out Amazon RDS with Strong Consistency|Tecnología / Base de datos / Proxy DB (youtube.com, heimdalldata.com)|Tecnología|Technology / database / proxy dB (YouTube.com, heimdalldata.com)|Technology
O5Sn5QCEAzE|Credimi: Processing and Metadata Extraction of Invoices for Factoring (Italian)|FinTech / Factoring / OCR SaaS|Tecnología|Fintech / Factoring / OCR SAAS|Technology
D77FSUkPJ3o|Avio Aero, a GE Aviation Business: Serverless App to Manage Expense Purchase Approvals|Aeroespacial / FinOps SaaS|Aeroespacial|AERAPACIAL / FINOPS SAAS|Aerospace
Gds8hl8dKuo|Fugue: Staying in Compliance by Automating Drift Detection|Tecnología / Ciberseguridad / Compliance|Tecnología|Technology / cybersecurity / compliance|Technology
53sUjFv9ByI|Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing|Salud / Bioinformática / Genómica|Salud|Health / bioinformatics / genomics|Health
9Cg81Xgg7LQ|Pushpay Holdings Ltd: Strangling a Monolith While Moving to Microservices|Tech / FinTech / SaaS (pagos religiosos)|Tecnología|TECH / FINTECH / SAAS (Religious Payments)|Technology
jBffL9zUCSE|The New York Times: Giving Developers Freedom to Deploy While Governing Cloud Services at Scale|Media / Publishing / Cloud Governance|Tecnología|Middle / Publishing / Cloud Governance|Technology
aY-wF9g0qkM|globaldatanet: AI to Build Multi‑Tenant SaaS Construction Site Monitoring|Construcción / PropTech / AI SaaS|Tecnología|Construction / Proptech / AI SAAS|Technology
Cgv0kfp_6xQ|Snap: Journey of a Snap on Snapchat Using AWS|Media / Social / Streaming|Tecnología|Medium / social / streaming|Technology
F4KDOGNpSoI|Pernod Ricard: Shortening URLs Global Scale with Low Latency (French)|Consumo / Bebidas / Data Analytics|Consumo|Consumption / Data Analytics|Consumption
SpIlpGxuwFM|Northwestern Mutual: Reducing CI/CD Cycle Time with AWS CDK Serverless|Finanzas / Seguros / DevOps|Finanzas|Finance / Insurance / Devops|Finance
yXpd8gPfows|Inawisdom: Insurance Companies Using IDP to Optimize Document Processing|InsurTech / RPA / IDP|Tecnología|INSURTECH / RPA / IDP|Technology
Ly_UhX3LCCs|AWS Solutions: Simple and Secure Media Exchange on AWS|Tecnología / Media Streaming|Tecnología|Technology / middle streaming|Technology
Kebb0LOVC28|Openfit: ChatOps with Slack and AWS Lambda|HealthTech / Fitness / SaaS|Salud|Healthtech / Fitness / Saas|Health
mpgM2qeAfaQ|Brain Power Fidgetology: Body Language Analysis with Serverless & AI|Salud / NeuroTech / AI|Salud|Health / neurotech / ai|Health
7LziNjUTo7w|IHS Markit: Virtual Instructor‑Led Trainings|Finanzas / Data / EdTech|Finanzas|Finance / Data / Edtech|Finance
XmIhHtPJWog|HDI Group: Automated Security & Compliance using Cloud Native|Insurance / InsurTech / Security|Seguros|Insurance / Insurtech / Security|Insurance
Ujs9o3CXUTU|Telefónica Tecnología AI of Things: Insights & ML with AI Suite|Telecom / IoT / AI|Tecnología|TELECOM / IOT / AI|Technology
lecbHMBD8KQ|Kaleido: Blockchain Cloud at AWS Speed|Tecnología / Blockchain / Web3|Tecnología|Technology / Blockchain / Web3|Technology
wzGYJ6BB0iY|Tata Global Beverages: Secure SAP Platform|Consumo / Bebidas / Enterprise Tech|Consumo|Consumption / drinks / Enterprise tech|Consumption
o6DZRwe30Ls|ArcBlock: QLDB – Decentralized Identity Solution|Blockchain / IdentityTech|Tecnología|Blockchain / Identitytech|Technology
bxvZBfbyhiA|OnScale: Deploying HPCs for CAE Workloads on AWS|Software / Ingeniería / HPC SaaS|Tecnología|SOFTWARE / ENGINEERING / HPC SAAS|Technology
bikXzsVihF4|United Airlines: AWS Backup to Protect Data from Ransomware|Aerolíneas / Cloud Security|Aeroespacial|Airlines / Cloud Security|Aerospace
lA0lAgN0hTI|Irdeto: Multi DRM Solution on Kubernetes|Seguridad / Media DRM|Tecnología|Security / Media DRM|Technology
acm-HWJhEOA|Careem: Identity‑Based Fraud Detection with Neptune ML|Transporte / Ride‑hailing / FinTech|Logística y Transporte|Transport / Hailing / Fintech|Logistics and transport
tBavPTWewvI|ACV Auctions: Scalable Auction Requests Platform|Automotive / Marketplace / Auctions Tech|Tecnología|Automotive / Marketplace / Auctions Tech|Technology
aN26J-7q9Hw|Qonto: Serverless Tecnologíanologies for PCI DSS Compliance (French)|FinTech / Neobanco / Compliance|Tecnología|Fintech / Neobanco / Complence|Technology
rPGLNw1cOGM|3M: Parallel Serverless Workflows for Materials Science|Manufactura / Ciencia de Materiales|Manufactura|MANUFACTURE / MATERIAL SCIENCE|Manufacture
WxMBuBBIwpI|NextRoll: Driving OpEx Efficiency for Ad Bidding Engines LIVE|Marketing Tech / AdTech|Tecnología|Marketing tech / adtech|Technology
Ozbv9qBsDG8|Clumio: Enterprise Backup as a Service with AlwaysOn Security|Tecnología / Backup SaaS / Cloud Security|Tecnología|Technology / Backup Saas / Cloud Security|Technology
uWUAcc68MWI|AWS Solutions: RealTime IoT Device Monitoring with Kinesis Analytics|IoT / Monitoring / Electrónica|Tecnología|IoT / MONITORING / ELECTRONIC|Technology
lcLw-Le_tXQ|Bitmovin: Distributed Video Encoding on AWS|Media / Video Streaming / SaaS (pages.awscloud.com, bitmovin.com)|Tecnología|Media / Video Streaming / Saas (pages.awscloud.com, Bitmovin.com)|Technology
az-C2c33trQ|Adikteev: ROI Analysis of Advertising Campaigns|MarTech / AdTech|Tecnología|Marsch / Adtech|Technology
INog0_9tCtY|Threat Stack: Proactive Risk Identification & Real-time Threat Detection|Ciberseguridad / Cloud Security|Tecnología|Cybersecurity / Cloud Security|Technology
CE03UMddoYU|WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability|Utilities / IoT / Sustainability|Tecnología|Utilities / IoT / Sustainability|Technology
Yju3yReAQtc|Fortinet Uses AWS Serverless for Highly Available ControlPlane for FortiWeb CloudWAF|Ciberseguridad / WAF / Cloud Security|Tecnología|Cybersecurity / WAF / Cloud Security|Technology
R-DPMUjZEf4|Logicworks: HIPAA Compliance and SSL Termination with Thousands of Certificates|HealthTech / Compliance / MSP|Salud|Healthtech / Compliance / MSP|Health
k7h0jpLcWdE|Carano Software Solutions: Accelerate Adoption of Microservices with Serverless|Cloud Consulting / DevOps|Tecnología|Cloud Consulting / Devops|Technology
4zVB5RbSTCo|Electroneum: Mobile Cryptocurrency Mining!|Crypto / Blockchain / Mobile Mining|Tecnología|Crypto / Blockchain / Mobile Mining|Technology
LD5ksgnu8r8|DXC: Claims Automation Using Amazon Textract and Comprehend|InsurTech / RPA / Document AI|Tecnología|INSURTECH / RPA / DOCUMENT AI|Technology
ItpY_KKR94k|The Orchard: Kafka Data Highway Boosting Developer Productivity|Media / MusicTech / Streaming Pipeline|Tecnología|Media / Musictech / Streaming Pipeline|Technology
2XVgpMwY5iE|Keen Eye: Deep Learning for Digital Pathology Image Analysis|HealthTech / AI Pathology|Salud|Healthtech / AI Pathology|Health
HwHVFWdczVw|MailUp Group: Marketing Campaign Planning & Management Italian|MarTech / Email Marketing|Tecnología|Marsch / Email Marketing|Technology
9JwZKseE9lc|This is My Architecture: Security Customer Spotlight|Tech / Cloud Security Spotlight|Tecnología|Tech / Cloud Security Spotlight|Technology
90rWUjKjnAE|amazee.io: Kubernetes Deployments Made Easy|Cloud Consulting / WebOps|Tecnología|Cloud Consulting / Webps|Technology
l0mvXogANE4|Smadex: Billions of Ads with ElastiCache for Redis|AdTech / Cache Optimization|Tecnología|Adtech / Cache Optimization|Technology
6YkguepAQuQ|Aetion: Deploy Applications with AWS Developer Tools|HealthTech / Real‑World Evidence SaaS|Salud|Healthtech / Real -World Evidence Saas|Health
jpewc52m4tg|Viz.ai: Improving Outcomes for Stroke Victims Using AI|HealthTech / AI Diagnostics|Salud|Healthtech / AI Diagnostics|Health
FqCs3BD6qvo|Accellion kiteworks: CI/CD Platform with EC2 Spot|Cyber/File Security / Enterprise SaaS|Tecnología|Cyber ​​/ File Security / Enterprise Saas|Technology
wzj2VQutJws|DataDog: Scaling Kubernetes with Metaclusters on AWS|Observabilidad / Cloud Monitoring|Tecnología|Observability / Cloud Monitoring|Technology
OrC9cLYMbas|Telecoming: Fargate Spot for Test Automation Platform|TelcoTech / Test Automation|Tecnología|Telcotech / Test Automation|Technology
DkPPwq517aE|Enimbos: Saving Costs Platform with Serverless Compute|FinTech / Cost Optimization|Tecnología|Fintech / Cost Optimization|Technology
D_4dsXVqzMs|Met Office: Serverless National Severe Weather Warning System|Government / Public Safety / ClimateTech|Government|Government / Public Safety / Climatetech|Government
rRvy5Fbei1s|Dentsu Tracking: Serverless EU Govt Supply‑Chain Control System|MarTech / Public Sector / Supply Chain|Tecnología|Marsch / Public Sector / Supply Chain|Technology
jV8DwutbXbg|Tandem Bank: Processing Transaction Data using Lambda + NLP|FinTech / Banking AI|Tecnología|Fintech / Banking ai|Technology
DrkaU99l9S8|L&T Tecnologíanology Services: Monitoring Industrial Equipment Health with IoT|Industrial IoT / Predictive Maintenance|Tecnología|IoT / Predictive Maintenance Industrial|Technology
_iHahE9-0e8|This is My Architecture: Analytics Customer Spotlight|Cloud Analytics / Case Study|Tecnología|Cloud Analytics / Case Study|Technology
w-qGSyzDL6g|Zillow: Natural Language Processing for Customer Interactions|PropTech / NLP|Government|Proptech / NLP|Government
KywvGM6HVXI|Capillary Tecnologíanologies: OmniChannel Data Ingestion Platform|Retail Tech / Omni‑Channel|Retail|TECH / OMNI -channel retail|Retail
uQFtb0iMC_s|AWS Solutions: Media Analysis|Media / Analytics|Tecnología|Media / Analytics|Technology
zqiNLMmEeSo|CloudPlex Media: Serverless Online Video Platform|Media / Streaming / SaaS|Tecnología|Media / streaming / saas|Technology
6iK4WNj6QqI|Ticketmaster: Active‑Active Multi‑Region Checkout|EventTech / Ticketing Platform|Tecnología|Eventtech / Platform Ticketing|Technology
R‑DPMUjZEf4|Logicworks: HIPAA Compliance and SSL Termination|HealthTech / Compliance Tech|Salud|Healthtech / Complence Tech|Health
w‑qGSyzDL6g|Zillow: NLP for Customer Interactions|PropTech / NLP|Tecnología|Proptech / NLP|Technology
8TExnSvZqt0|AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS|FinTech / Risk & Regulatory Reporting (youtube.com, nasdaq.com)|Tecnología|Fintech / Risk & Regulatory Reporting (YouTube.com, Nasdaq.com)|Technology
KzJKdUZ3Ba4|PwC: Streamlining Asset Tracking with Amazon Managed Blockchain|Consultoría / Supply Chain Tech / Blockchain|Transformación Digital|Consulting / Supply Chain Tech / Blockchain|Consulting and Digital Transformation
c6yBZBMwtLk|RSI: Modernizing Audio and Video Content Management (Italian)|Media / Content Management Tech|Tecnología|Media / Content Management Tech|Technology
wE3TmHxyRdA|Innovapost: Scaling to 5M Package Deliveries with Serverless|Logística / e‑commerce / Serverless|Logística y Transporte|Logistics / E -Commerce / Serverless|Logistics and transport
yPJf85tjv6M|HK01: Serverless Clickstream Analytics (Cantonese)|Media / Analytics|Tecnología|Media / Analytics|Technology
Dp3YAxFp-YM|Alef Education: Adaptive Learning System for K12 on AWS|EdTech / Educación personalizada|Tecnología|EDTECH / PERSONALIZED EDUCATION|Technology
H51Ups01ZpU|AT&T: Bringing IoT to the Enterprise|Telecom / IoT|Tecnología|Telecom / IoT|Technology
vp8oPiHN4cA|Novartis: AI‑powered Procurement Portal|Pharma / HealthTech / AI|Salud|Pharma / Healthtech / AI|Health
BZ32w0SSAoY|PixelStrings by Cinnafilm: Platform for Video/Audio Optimization|Media / Post‑production Tech|Tecnología|Media / Post -Production Tech|Technology
XGVWdSnml6A|Toyota Research Institute: Self-Service Portal for Data Scientists|Automotriz / Investigación / PropTech|Automotriz|Automotive / Research / Proptech|Automotive
sezX7CSbXTg|Taco Bell: Order Middleware for Massive Scale|FoodTech / Fast Food Tech|Food|Foodtech / Fast Food Tech|Food
JSBB-BCvavQ|Talabat: Migration Strategies|Food Delivery / Marketplace|Food|Food Delivery / Marketplace|Food
66fPHLmvikk|ContentWise: SageMaker in Production (Italian)|Media / Personalization Tech|Tecnología|Media / Personalization Tech|Technology
vr00Jg_G6qs|Orion Health: Digital Front Door for Healthcare|HealthTech / SaaS Médico|Salud|Healthtech / Saas Medical|Health
mtZvA7ARepM|Temenos: Serverless Banking Software at Scale|FinTech / Banca – Core Banking SaaS|Tecnología|Fintech / Bank - Core Banking Saas|Technology
9-6hQdFeolc|Lyniate: Healthcare Data Exchange at Scale|HealthTech / Interoperability|Salud|Healthtech / interoperability|Health
07lfvavMdfU|Levels Beyond: Digital Content Orchestration|Media / Content Orchestration|Tecnología|Media / Content Orchestration|Technology
ilsJgwcAshE|Amagi: Broadcast Playout on AWS|Media Tech / Broadcast|Tecnología|Half Tech / Broadcast|Technology
zmJ7rL1iQBY|Fidelity Investments: Containers at Scale with EKS|Finanzas / Asset Management / Tech Ops|Finanzas|Finance / Asset Management / Tech Ops|Finance
nvhG60gFbso|JFrog: Secure Software Artifact Distribution via SaaS|DevOps / Software Delivery / SaaS|Tecnología|Delivery / Saas Software|Technology
99nNHsbwBpg|SkyScanner: Multi‑Region Kubernetes on AWS|TravelTech / SaaS / Infraestructura|Logística y Transporte|Traveltech / Saas / Infrastructure|Logistics and transport
Felt-hOU6kU|Xero: Self-Service Developer Portal for Thousands of Devs|FinTech / Accounting SaaS|Tecnología|Fintech / Accounting Saas|Technology
gpWR5JBC64A|FoodHub: Massive Scale Order Processing (Serverless)|FoodTech / Restaurant Tech|Food|Foodtech / Restaurant Tech|Food
9yziTe6lBwk|Ânima Educação: Digitizing Student Experience for Colleges|EdTech / Educación Superior|Tecnología|EDTECH / Higher Education|Technology
QM96Fv_NAnw|INT: Seismic Data Visualization Platform|Utilities / Oil & Gas / Data Visualization|Tecnología|Utilities / Oil & Gas / Data Visualization|Technology
UsngU-HjH_Q|ViacomCBS: Multiplatform Distribution Platform|Media / Entertainment / OTT|Tecnología|Media / Entertainment / Ott|Technology
OuQvFd44vw4|econda GmbH: Real‑Time Personalization Engine with SageMaker|Retail / Personalization Tech|Retail|Retail / Personalization Tech|Retail
ktonI7J3kLY|Grabyo: Serverless Smart Capacity Provisioning for Video Orchestration|Media / Live Video SaaS|Tecnología|Media / Live Video Saas|Technology
