architecture,name,description,category,link,tipo_arquitectura,services
FfSNnH2bbNc,Carbon by Indigo: Carbon Credits for Regenerative Agriculture,"satellites from NASA.
    5PB of data stored.
    100GB of data per day. addition.

    autoscale EC2 to deal with stream of data.
    WHY S3: Range queries.
    WHY Serverless: most processing on the fly instead of preprocessing.","data_ingestion,interactive",https://www.youtube.com/watch?v=FfSNnH2bbNc,,"['Lambda', 'UserConsumerSatellite', 'S3', 'Fargate', 'UserConsumerWeb', 'EC2', 'ElastiCache', 'RDS']"
r3g1Nym-ebY,Volkswagen Financial Services: Scaling Their Managed Platform Services by 600,"Financial services arm of Volkswagen so compliance and auditing is an important aspect of their apps.
    Video doesn't provide much information of the graph.
    CloudTrail is used to log everything and generate audit reports. It acts as the single source of truth.
    Their infra involves a large number of accounts which are managed via Aws Organisations.",other,https://www.youtube.com/watch?v=r3g1Nym-ebY,,"['IAM', 'Fargate', 'AWSConfig', 'Inspector', 'Organizations', 'EC2', 'CloudTrail']"
i10a06IU4WQ,Pinterest: Scalable Access Control with STS Token Vending,"The usecase is to restrict the data access and also make it accessible from Hadoop and others for data processing. Initially, used Iam roles and the EC2 instances are given Iam roles to access data. Everytime new role is created, they had to create service instances to do access control - not scalable. Making use of managed policies in STS to get tokens with managed policies. Graph is not very usable as they just mention how it gets the token which can be used to authorize requests and this is a graph for one such example use case.",control,https://www.youtube.com/watch?v=i10a06IU4WQ,,"['ThirdParty', 'S3', 'UserCompanyAgent', 'STS', 'EC2']"
q_5U7z_vNug,"Flutura: Digital Twin - Shaping Operations for Maximizing Yield, Reliability and Net-Zero Goals",EMR to run Spark and HBase and because of scalable architecture for independently scaling compute and storage. Billion records per day. 50k rules evaluation in a minute.,data_ingestion,https://www.youtube.com/watch?v=q_5U7z_vNug,Edge,"['Lambda', 'EMR', 'MSK', 'ThirdParty', 'S3', 'UserConsumerEdge', 'UserCompanyAnalyst', 'EC2']"
yXpd8gPfows,Inawisdom: How Insurance Companies are Using IDP to Optimize Document Processing,"Study describes how they use AI/ML to perform document processing.
    There are three phases. In phase 1, email attachments are extracted and stored into S3.
    In phase 2, AI/ML services are used to further process them and results are again stored in S3. The results here are topics (document classification) and extracted details like quote and policy numbers.
    In phase 3, a lambda picks up the results and performs some (unclear) postprocessing to store in dynamodb.
    In case accuracy of models is found to be unsatisfactory, the lambda also triggers sagemaker ground truth where a domain expert can improve the model.",compute_intensive,https://www.youtube.com/watch?v=yXpd8gPfows,,"['Lambda', 'SageMakerGroundTruth', 'ThirdParty', 'S3', 'Textract', 'Comprehend', 'SageMaker', 'DynamoDB']"
o_zqbpuhyIY,TMA Greatest Hits 2020: Vol  1 with Nielsen HSBC and Temenos,covered in individual videos,control,https://www.youtube.com/watch?v=o_zqbpuhyIY,,"['Kinesis', 'UserConsumerAPI']"
aY-wF9g0qkM,globaldatanet: Using AI to Build a Multi-Tenant SaaS Construction Site Monitoring Solution,"Image processing for images taken by cameras as construction sites.
    The edge device (camera) submits input images via SFTP.
    Rekognition is used to blur persons and license plates.
    There are two processing paths.
    First is immediate that uses Rekognition to generate output as soon as image is received.
    Second is to get better accuracy using a batch job that runs overnight.
    About 86k images are processed every day.",interactive,https://www.youtube.com/watch?v=aY-wF9g0qkM,Edge,"['Lambda', 'ThirdParty', 'S3', 'UserConsumerEdge', 'TransferFamily', 'Rekognition', 'UserConsumerWeb']"
Wur1GWB03hk,Lockheed Martin: Using Alexa for Business to Securely Access Program Management Status,largest defense contractor. voice skills - use of Alexa for business. status anywhere anytime. use aurora mysql. why 2 dbs? programs are abbreviations.they convert to a string for alexa to understand. which is stored in dynamodb - quick return of key-value.why alexa for business? enterprise application.,interactive,https://www.youtube.com/watch?v=Wur1GWB03hk,Edge,"['Lambda', 'S3', 'RDS', 'AlexaForBusiness', 'UserConsumerMobile', 'DynamoDB']"
PoYiSKUy8sE,Alert Logic: Scaling Storage and Delivery of Petabytes of Search Data,"Storage service to consumers and provide a search functionality through it.
    System has two parts -- data ingestion and search.
    Total data in store 25 petabytes. Each search query typically looks at 100s of terrabytes of data.
    Search Engine -- MapReduce system based on Lambdas. Rich SQL syntax.
    Search is a spiky workload. On certain gameday, the Lambda fleet scaled from 0 to 55k in an hour and back to 0 when demand went down (saving money).
    Interestingly they use 'Erlang' in writing their Lambda logic.
    The DynamoDB is not connected in the graph. It is likely connected to ECS.","data_ingestion,interactive",https://www.youtube.com/watch?v=PoYiSKUy8sE,Edge,"['Lambda', 'StepFunctions', 'Kinesis', 'S3', 'UserConsumerAPI', 'ECS', 'UserConsumerEdge', 'SQS', 'DynamoDB']"
N2mktbl8EQk,An Under the Hood Tune Up with AWS DeepRacer,describes how AWS service (Deepracer) works internally. some AWS services are deployed in customer's VPC. talks about types of data stored in S3 (meta/data etc). talks about RL architecture (basic ML stuff).,compute_intensive,https://www.youtube.com/watch?v=N2mktbl8EQk,Edge,"['Kinesis', 'CloudWatch', 'S3', 'RoboMaker', 'UserConsumerWeb', 'SageMaker']"
Gds8hl8dKuo,Fugue: Staying in Compliance by Automating Drift Detection,"Infra provisioning to help businesses build infra in a compliant manner. 
    Congiguration manager - drift detection and enforcement
    s3 is used to store the infra mapping and the declared policies
    This runs in customer's AWS Account
    Scan infra config at a regular interval to detect the config drift",control,https://www.youtube.com/watch?v=Gds8hl8dKuo,,"['S3', 'UserCompanyAgent', 'KMS', 'SQS', 'EC2', 'SNS', 'DynamoDB']"
1xLjtJnfZes,MATTR: Building Digital Trust at Scale,"Digital trust and verifiable data. Care about DDoS attack, but in their use case, there can be a peak load when the system initially starts, so it needs to ensure initial peak load is not flagged as DDoS (through ShieldAdvanced polices etc.); after the initial peak load, it then scale down the Auto Scaling Group.",interactive,https://www.youtube.com/watch?v=1xLjtJnfZes,,"['ShieldAdvanced', 'ThirdParty', 'WAF', 'UserConsumerAPI', 'ELB', 'AutoScaling', 'EKS', 'UserCompanyDataStream']"
53sUjFv9ByI,Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing Drug Discovery,"Biopharma: drug development in neurogenerative disease space, to help with things like Alzheimer
    Data Scale: hundreds of thousands of samples
    Benefit of using EKS: ease of use & auto scaling
    Benefit of using ECR: versioning enabled
    Future Plan: refine to make the workflow more stable",data_ingestion,https://www.youtube.com/watch?v=53sUjFv9ByI,HPC,"['ThirdParty', 'FSX', 'EKS', 'ECR', 'UserCompanyDataStream', 'EC2']"
OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,"Before the migration, there were 81k ways for a customer to interact with the system.
    To reduce this complexity, combination of SaaSConnect and Lex is used to simply the interactions down to 200 ways.
    DevTools also make use of TerraForm (Infrastructure as Code) to handle changes and migration.
    Agents_2 are Team Leads.
    System handles 1m phone calls per month.
    Connect Data is pumped out to a SnowFlake data warehouse. This is accessible via a dashboard.",interactive,https://www.youtube.com/watch?v=OQKOHNtyz3E,,"['Lambda', 'ThirdParty', 'Lex', 'UserCompanyAgent', 'UserCompanyDeveloper', 'Connect', 'UserConsumerMobile', 'DevTools', 'DynamoDB']"
hFx0EF9KEZU,Buzzvil: Segment Processing and Provision for Ad Recommendation Korean,"Hard to categorise since there are 3 clear flows here.
    1. Data ingestion of user behaviour and converting it into actionable data.
    2. Admin work to compute recommendations based on policies.
    3. Generating recommendations when a request is made.","data_ingestion,compute_intensive,interactive",https://www.youtube.com/watch?v=hFx0EF9KEZU,,"['Lambda', 'ThirdParty', 'S3', 'RDS', 'UserConsumerWebMobile', 'Firehose', 'EKS', 'Athena', 'DynamoDB']"
vp8oPiHN4cA,Novartis - Buying Engine: AI-powered Procurement Portal,,"data_ingestion,interactive",https://www.youtube.com/watch?v=vp8oPiHN4cA,,"['Lambda', 'Kinesis', 'S3', 'DynamoDB', 'Neptune', 'UserConsumerWeb', 'OpenSearch', 'SageMaker', 'ApiGateway', 'StepFunctions']"
M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,"10 million patients data with 20B records
    Transform patient health data to unified canonical model
    To uniquely identify patients data and deduplicate them - Neo4J corelation engine provides algorithms to do that natively
    Hadoop, HDFS, Spark Jobs to EMR and S3 -> significant cost savings more than half
    Aurora to power applications
    Amazon Connect to trigger contact flow to reach out to patient if required
    Amazon Connect proactively reaches out to patients on alerts (no human intervention).
    Future plans of using Sagemaker to make predictive health analysis","data_ingestion,compute_intensive",https://www.youtube.com/watch?v=M_hqigB9C4I,,"['EMR', 'ThirdParty', 'RedShift', 'S3', 'Connect', 'Aurora', 'UserConsumerWeb', 'UserCompanyDataStream']"
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,"Fantasy games platform where people can create and join contests
    Last month 1.5m new registered user, every match 0.5m users create their teams
    Plan to use Apache Spark Streaming with EMR; plan to use DynamoDB","data_ingestion,interactive",https://www.youtube.com/watch?v=3WgTBTDlQN8,,"['Lambda', 'UserCompanyAPI', 'EMR', 'RedShift', 'CloudWatch', 'S3', 'UserConsumerMobile', 'EC2', 'ApiGateway']"
ameanoaMldM,Bristol-Myers Squibb: Enabling DevOps with AWS Service Catalog,Traditional stack building takes six weeks and the Service Catalog makes it possible in 15 min. Service Catalog - to enable upgrades easily,other,https://www.youtube.com/watch?v=ameanoaMldM,Edge,"['Lambda', 'CloudFormation', 'CodePipeline', 'S3', 'Route53', 'CloudFront', 'ApiGateway']"
c-1GXhOOOww,Anchor Operating System: Building a Serverless Guest Sightseeing Journey Seamlessly,"ticketing platform. more than 40 tenants on it. like nyc ferry. app sync - graphql. multitenacy by DynamoDB.
    partition keys used for each tenant. sometimes lambda is skipped. app sync directly hits lambda",interactive,https://www.youtube.com/watch?v=c-1GXhOOOww,,"['Lambda', 'ThirdParty', 'S3', 'UserConsumerAPI', 'AppSync', 'SQS', 'UserConsumerMobile', 'ApiGateway', 'DynamoDB']"
mq3XuoN0rUM,ZS Associates: Intelligent Process Automation Using AWS AI Services,"Requirement: tailor the privileges and policies for each customer/team.
    EC2 runs ""bots"": Automation Anywhere, Blue Prism, and UiPath.
    Triggered either manually or by uploading config to S3.
    they have defined custom rules/language for the bots.
    Use vpc peering to communicate with external apis while ensuring compliance.",compute_intensive,https://www.youtube.com/watch?v=mq3XuoN0rUM,,"['ThirdParty', 'VPCPeering', 'S3', 'UserCompanyDeveloper', 'Polly', 'Comprehend', 'Transcribe', 'EC2', 'RDS']"
ZCj2wuKBBu4,Nike: A Social Graph at Scale with Amazon Neptune,"This team works on representations of user relationships (graphs) with categories (interests).
    Autoscaled EC2 instances write to the graph database.

    WHY_SERVICE:
    In the first version of this system, they used Cassandra instead of Neptune.
    Schema fit Neptune model better than cassandra
    Cassandra was maintenance heavy (as it was not managed). Cassandra was EC2 based.
    Neptune is managed and the representations of graphs are simpler so easy to use.",data_ingestion,https://www.youtube.com/watch?v=ZCj2wuKBBu4,,"['Lambda', 'ThirdParty', 'Neptune', 'ELB', 'UserConsumerMobile', 'EC2', 'SNS', 'ApiGateway']"
A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,1000s of customers. Use AWS Fully managed services to scale. Making it easy for customers to use SaaS. It describes how they are predicting the SPOT instance interruption and triggering replacement.,control,https://www.youtube.com/watch?v=A4Lfk1Zz1dE,,"['CloudFormation', 'IAM', 'EKS', 'Aurora', 'EC2', 'SageMaker']"
nflGdpwbf54,Vertex Pharmaceuticals: A Serverless Platform for Small Molecule Search,,compute_intensive,https://www.youtube.com/watch?v=nflGdpwbf54,,"['Lambda', 'S3', 'ECS', 'Fargate', 'AmazonMQ', 'UserConsumerWeb', 'ApiGateway', 'RDS']"
KgRib8AM0fs,Hudl: Ingesting and Transcoding Video Data Using AWS,10K instances. 30K events/minute. Latency ~2mins. Drain jobs when termination notice comes up. Use spot advisor. Use common pattern of having lambda look at SQS length and cloudwatch to scale up SpotFleet,compute_intensive,https://www.youtube.com/watch?v=KgRib8AM0fs,Edge,"['Lambda', 'CloudWatch', 'S3', 'UserConsumerEdge', 'SQS', 'UserConsumerWebMobile', 'EC2']"
d0EE1HuZSEU,William Hill: Highperformance DDOS Protection with AWS,"Internal infra that can be used by developers internally to create apps with DDOS protection.
    ShieldAdvanced for Layer 3/4 attacks.
    WAF for more blocking more complicated Layer 7 attacks.
    Non sensitive traffic goes to ELB. Sensitive traffic goes to EC2. EC2 hosts F5 BIG-IP as an extra layer of protection.
    Logs are collected in S3 and then sent to on-premise analysis tools which identify further malicious traffic (ip addresses). These are then populated in WAF.
    The above in a way is a continuous improvement loop.",control,https://www.youtube.com/watch?v=d0EE1HuZSEU,Edge,"['Lambda', 'ShieldAdvanced', 'ThirdParty', 'VPC', 'VPCPeering', 'WAF', 'S3', 'ELB', 'Route53', 'CloudFront', 'DirectConnect', 'EC2', 'DynamoDB']"
iwDNnyiD26M,Cedrus: Migrating a Legacy Application to a Serverless Ecosystem,moving legacy application to cloud using serverless. Appsync - good for combining multiple kinds of different data together. The video doesn't describe the use of few resources like S3 and another Lambda function.,interactive,https://www.youtube.com/watch?v=iwDNnyiD26M,,"['Lambda', 'ThirdParty', 'Cognito', 'S3', 'AppSync', 'UserConsumerWeb', 'SNS', 'DynamoDB']"
amh7nzl32v4,Melco Resorts & Entertainment: Serverless Architecture Pattern for Melco Club Mobile App,talks about why they wanted to use serverless.mentions why they chose dynamodb. Future: eks. mentions lambda constraints.,interactive,https://www.youtube.com/watch?v=amh7nzl32v4,,"['Lambda', 'ThirdParty', 'UserConsumerMobile', 'SecretsManager', 'ApiGateway', 'DynamoDB']"
DxHO2TWVN8I,Equinix: Massive Data Ingest  Analytics with Serverless Cloud Application Architectures on AWS,"SaaS for data ingest and analytics.
    Shield is used to avoid cost issues when websites being monitored are under DDoS attacks. Without shield, services will scale up and customer will need to pay for them.",data_ingestion,https://www.youtube.com/watch?v=DxHO2TWVN8I,Edge,"['Lambda', 'S3', 'ECS', 'Firehose', 'CloudFront', 'UserCompanyAnalyst', 'UserConsumerWeb', 'Shield', 'ApiGateway', 'DynamoDB']"
-S-R7MWRpaI,mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,,"data_ingestion,interactive",https://www.youtube.com/watch?v=-S-R7MWRpaI,Edge,"['ThirdParty', 'Kinesis', 'S3', 'Firehose', 'EKS', 'UserConsumerMobile', 'DynamoDB']"
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,"scale: 60B events/day. agent in customer's instance. separate pipelines forreal-time and long-term storage/analysis. Different serialization/storage formats: json->Avro->gzipped.Also, different data is stored in different places, no duplication here.Bucket policy permissions to let customers fetch data. EC2 service specifically to orchestrate EMR.Mentions benefits of parquet. Mentions dogfooding.",data_ingestion,https://www.youtube.com/watch?v=INog0_9tCtY,,"['EMR', 'ThirdParty', 'VPC', 'S3', 'Athena', 'UserCompanyAnalyst', 'EC2', 'OpenSearch', 'SageMaker', 'CloudTrail']"
lkDq9g43djw,FINBOURNE: How Finbourne Assures Resiliency Through Chaos Engineering Events Every 17 min,"Company develops a new way to deliver data management
    About 10 million requests each day
    Route53 chooses available zone in the moment
    Multiple NLBs because ""want to layer for traffic specifically""
    Multiple zones of EKS + EC2
    Use EKS because stripe workloads across different failure domains, so across different instances
    EKS auto scaled by Karpenter
    3k requests to Aurora each second
    Use Aurora because replicates across regions with minimal lag
    Fail over Aurora routinely to detect failures (Chaos Engineering)
    Main benefit: improve resilience (Chaos Engineering: terminate an app each 17 minutes, an EC2 each 6 hours, fail AZ twice weekly), keep costs in best position
    Future plan: active-active situation (both regions active), better resilient to failures",data_ingestion,https://www.youtube.com/watch?v=lkDq9g43djw,,"['NLB', 'Route53', 'EKS', 'Aurora', 'EC2']"
LD5ksgnu8r8,DXC: Claims Automation Using Amazon Textract and Amazon Comprehend,"want to speed up process, go away from manual reentry of text. have more than 4.5mil pdf images. 
    textract for images, comprehend is trainable (custom plus classification). really accurate.
    weekly training of models. images not always great. labour reduced by 1/3rd. better business rules.",compute_intensive,https://www.youtube.com/watch?v=LD5ksgnu8r8,,"['Lambda', 'UserConsumerAPI', 'S3', 'ECS', 'Textract', 'Comprehend', 'UserConsumerWeb', 'UserCompanyDataStream', 'ApiGateway', 'DynamoDB']"
lHM96P5kP2k,Fyber: Ultra Scale Event Processing with Apache Spark on Amazon EKS with EC2 Spot Instances,"mobile developers helped to monetize with ads. 1/2 million ad requests per second. Initial was YARN, with Hadoop. not cost effective. now spark jobs on kubernetes. Autoscaling. 90% cost saving. Presto is used for Snapshot.",data_ingestion,https://www.youtube.com/watch?v=lHM96P5kP2k,,"['EMR', 'ThirdParty', 'EKS', 'S3']"
bxvZBfbyhiA,OnScale: Deploying HPCs for CAE Workloads on AWS,"HPC platform.
    It is HPC but it uses S3! EVEN HPC IS NOT USING FS!",compute_intensive,https://www.youtube.com/watch?v=bxvZBfbyhiA,HPC,"['Lambda', 'CloudWatch', 'S3', 'UserConsumerDeveloper', 'EKS', 'EC2', 'SNS', 'DynamoDB']"
uMX94Mn9u-4,Kmong: Enhancing Security by Leveraging AWSs Security EPICs Acceleration Program Korean,"Freelancer platform, 300 categories of services
    Purpose of system: identify logs, prioritize & respond to security events

    Data analyzed by services like elastic search and Athena
    Security Hub emits alerts by triggering Lambda or SNS service

    Save 80% of time spent detecting and responding to security events

    Future plan: security threats can be detected in running instances of ECS/EMR",control,https://www.youtube.com/watch?v=uMX94Mn9u-4,,"['Lambda', 'Detective', 'Kinesis', 'CloudWatch', 'WAF', 'SecurityHub', 'GuardDuty', 'SystemsManager', 'OpenSearch']"
YV8e36ZywLk,Syntax: Extract and Leverage SAP Data with AWS Services,"System: communicate between SAP environments and AWS analytical services
    Works as an add-on to SAP based on ABAP language which is native to SAP
    Utilizes a native functionality, SLT, in SAP environments to communicate with S3 and Kinesis Data Stream in high volume
    Customers may have 700000 records generated from 90 sources of data per minute, which leads to more than 500 million records per hour
    Builds on Application layer, and does not require middleware
    Future: enable Amazon Service Event Bridge to replace SNS",other,https://www.youtube.com/watch?v=YV8e36ZywLk,,"['Lambda', 'ThirdParty', 'S3', 'KinesisDataStream', 'SNS']"
ZA_0RMeeWpY,Dome9: CloudBots Make Compliance Easy,Provides visibility into what is happening and do remediations if required. Single Lambda to make remediations in multiple customer accounts. Lambdas run in customer accounts as the data is confidentian and Dome9 need no access to it.,compute_intensive,https://www.youtube.com/watch?v=ZA_0RMeeWpY,,"['Lambda', 'ThirdParty', 'GuardDuty', 'SNS']"
j9OZ-7aCAyA,Homesite: Event-Driven Data Analytics Platform Using Amazon Neptune,Step functions - some actions would exceed Lambda execution window and need tight coordination. Provide one cohesive vision of data produced at different granularities and schemas. Pipeline config(in any format) is stored in dynamo and triggered using Lambda. Scale up based on the workload - cost savings up to 50%. Graph DB to process complex data and store the results in S3(cheaper) and doing queries using serverless Athena.,data_ingestion,https://www.youtube.com/watch?v=j9OZ-7aCAyA,,"['Lambda', 'ThirdParty', 'StepFunctions', 'Glue', 'S3', 'Neptune', 'SQS', 'UserCompanyDataStream', 'DynamoDB']"
GxjMSvwcgvw,Sopra Banking Software: Secured & Industrial Microservices for a Digital Banking Engagement Platform,"microservice architecture based on kubernetes. 10 clients through 30 branches. 3 regions over the world.kubernetes hosted on ec2. the data part ec2 and mongodb. they also user terraform for provisioning.security integrated into the VPC design. WAF, Shield etc used.",interactive,https://www.youtube.com/watch?v=GxjMSvwcgvw,,"['UserCompanyAPI', 'UserConsumerAPI', 'ELB', 'EC2', 'ElastiCache', 'RDS']"
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,"uses apache nifi as a way to pull data into apache metron. talksabout how long to store data in data lake. Moved from onprem HDFS to 'serverless security datalake'.talks about why they (security) needs automation. mentions scale of events, # of integrations made w/ different AWS services.",data_ingestion,https://www.youtube.com/watch?v=-3lnf5lzsH0,,"['EMR', 'ThirdParty', 'WAF', 'S3', 'OnPremDC', 'SQS', 'GuardDuty', 'Athena', 'UserCompanyAnalyst', 'EC2', 'SNS', 'CloudTrail']"
Ccutfm_Srzw,Zulily: A Compelling Suggestive Search Experience Using Amazon DocumentDB with MongoDB Compatibility,"Suggestive search experience, basically recommendations but only based on search data of other similar users.
    Kinesis > KinesisDataStream > Kinesis pattern is being used for data filtering (real time filtering with no servers involved!).
    Initially they were planning to use MongoDB (as their team is expert at it) but decided to use DocumentDB due to low maintenance overhead and ease of use.",interactive,https://www.youtube.com/watch?v=Ccutfm_Srzw,,"['Lambda', 'ThirdParty', 'Kinesis', 'KinesisDataStream', 'DocumentDB', 'UserConsumerMobile', 'ElastiCache']"
