architecture,name,description,category,link,tipo_arquitectura,tipo_arquitectura_no_cloudfront,services,serverless_found,num_serverless,has_serverless,serverless_faas_found,num_serverless_faas,has_serverless_faas,serverless_compute_found,num_serverless_compute,has_serverless_compute,serverless_event_driven_found,num_serverless_event_driven,has_serverless_event_driven,belongs_edge,belongs_hpc,belongs_serverless,belongs_serverless_faas,belongs_serverless_compute,belongs_serverless_event_driven,belongs_none_analytical,belongs_edge_no_cloudfront,year_video
x76BIV88j_M,Cabify: Building a Massively Scalable Ride-Sharing Mobile App with Containers (Spanish),Route53 enabled data transfer which was estimated to 2 weeks in 2 days. 700 services. Spot instances to deal with sudden load and they are low in price. contextual rule for hot data (Mysql) migration to warm(S3): whether trip is active or not.Each service has its own database.,interactive,https://www.youtube.com/watch?v=x76BIV88j_M,,,"['RDS', 'Route53', 'ELB', 'EKS', 'UserConsumerMobile', 'EC2', 'S3']",['S3'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2022
GxjMSvwcgvw,Sopra Banking Software: Secured & Industrial Microservices for a Digital Banking Engagement Platform,"microservice architecture based on kubernetes. 10 clients through 30 branches. 3 regions over the world.kubernetes hosted on ec2. the data part ec2 and mongodb. they also user terraform for provisioning.security integrated into the VPC design. WAF, Shield etc used.",interactive,https://www.youtube.com/watch?v=GxjMSvwcgvw,,,"['ElastiCache', 'RDS', 'ELB', 'UserCompanyAPI', 'EC2', 'UserConsumerAPI']",[],0,False,[],0,False,[],0,False,[],0,False,False,False,False,False,False,False,True,False,2020
OrC9cLYMbas,Telecoming: How To Save Up to 70% Using Fargate Spot on a Test Automation Platform (Spanish),"7 billion annual payment transactions
    present in 27 countries
    30000 daily test executions
    cost optimization using Fargate Spot (70% savings)
    testing platform",control,https://www.youtube.com/watch?v=OrC9cLYMbas,,,"['RDS', 'ThirdParty', 'Fargate', 'EC2', 'S3']","['Fargate', 'S3']",2,True,[],0,False,['Fargate'],1,True,[],0,False,False,False,True,False,True,False,False,False,2021
oTtPNgcZ05I,Roche: Enabling EnterpriseWide Analytics and ML with Automated Compliance,Internal Infra for data storage and analytics. It is healthcare data. So a GUI is used in between through which permissions for data access are manually approved or denied.,control,https://www.youtube.com/watch?v=oTtPNgcZ05I,,,"['UserCompanyAnalyst', 'ServiceCatalog', 'LakeFormation', 'S3', 'CloudFormation', 'ThirdParty', 'EKS', 'SageMaker', 'RedShift', 'Athena']",['S3'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2022
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),"Manage SAP. Created a healing framework for SAP with outsourced monitor services (following AWS best practices).
    Outsourced monitoring has a benefit that if the instance fails with its local monitor, such failure can still be detected.",control,https://www.youtube.com/watch?v=CsD5bmM6mpY,,,"['CloudWatch', 'SystemsManager', 'Lambda', 'SNS', 'SAP', 'EC2']","['Lambda', 'SNS']",2,True,['Lambda'],1,True,[],0,False,['SNS'],1,True,False,False,True,True,False,True,False,False,2021
Dp3YAxFp-YM,Alef Education: Building an Adaptive Learning System for K12 Students using AWS,"e-learning platform
    120k students learning through platform","data_ingestion,compute_intensive",https://www.youtube.com/watch?v=Dp3YAxFp-YM,,,"['CloudWatch', 'ELB', 'EKS', 'SageMaker', 'RedShift', 'ECR', 'UserConsumerWeb', 'S3']",['S3'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2021
9JwZKseE9lc,This is My Architecture: Security Customer Spotlight,summary video,control,https://www.youtube.com/watch?v=9JwZKseE9lc,,,"['Kinesis', 'UserConsumerAPI']",[],0,False,[],0,False,[],0,False,[],0,False,False,False,False,False,False,False,True,False,2023
XmIhHtPJWog,HDI Group: Automated Security and Compliance Issue Remediation Using Cloud Native Services,"Germany insurance company (-> security & compliance matters), modern data platform to maintain & develop secure data enabled end products
    20 accounts, 50+ Lambda (i.e. protection from 50+ security incidents) now
    AWSConfig, GuardDuty, AccessAnalyzer, and Fargate are ingesting findings to SecurityHub
    Lambda can be triggered manually or automatically
    SecurityHub can export findings to ServiceNow, ServiceNow can create incidents

    Future: More lambda functions, convert Lambda to controls for CI/CD pipelines, make ServiceNow a central view (eg. control standards, manage findings)",interactive,https://www.youtube.com/watch?v=XmIhHtPJWog,,,"['ServiceNow', 'SecurityHub', 'Lambda', 'UserCompanyAgent', 'AccessAnalyzer', 'UserCompanyDeveloper', 'AWSConfig', 'Fargate', 'EventBridge', 'GuardDuty']","['EventBridge', 'Fargate', 'Lambda']",3,True,['Lambda'],1,True,['Fargate'],1,True,['EventBridge'],1,True,False,False,True,True,True,True,False,False,2023
Kebb0LOVC28,Openfit: ChatOps with Slack and AWS Lambda,"Workout, Nutrition and Wellness platform. Code pipeline for CI/CD. ECR to store artifacts. Slack notification at every step. The video just describes how they are making use of Slack notifications to make approval process easy. chat ops model",control,https://www.youtube.com/watch?v=Kebb0LOVC28,,,"['CodeBuild', 'Lambda', 'UserCompanyDeveloper', 'ThirdParty', 'ApiGateway', 'SNS', 'CodePipeline', 'ECR']","['APIGateway', 'Lambda', 'SNS']",3,True,['Lambda'],1,True,[],0,False,['SNS'],1,True,False,False,True,True,False,True,False,False,2020
aN26J-7q9Hw,Qonto: How to Leverage Serverless Technologies to Quickly Achieve PCIDSS Compliance French,"App allows users to manage their cards using the Qonto app. It is not described what all is meant by managing the card.
    There are two flows. The first flow is the card management that starts at the users app and connects to the mastercard network among other things.
    The next is logging flow which writes logs to Sentry.
    The main issue is being PCI-DSS compliant. They specifically use Lambdas because AWS is certified to be PCI-DSS compliant.",control,https://www.youtube.com/watch?v=aN26J-7q9Hw,,,"['SystemsManager', 'Lambda', 'KMS', 'ApiGateway', 'ThirdParty', 'ELB', 'UserConsumerMobile', 'EC2', 'NAT']","['APIGateway', 'Lambda']",2,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2020
IP03SkGbP-U,Astana International Exchange: Running a Stock Exchange in the Cloud,"Deployed in 2 regions for high availability (crucial for stock market). Failover process takes 30 sec and 2-3 min with business approvals; upon failover, rounte53 send all traffic to the second region. This video describes how they achieved HA rather than explaining the request flow. Not replicating anything in Dynamo as they use global tables (already present across multiple regions). EC2 replication using lifecycle manager. RDS Replication using replica service. ECS replication using ECR by maintaining same image versions in another region.",interactive,https://www.youtube.com/watch?v=IP03SkGbP-U,,,"['EC2', 'RDS', 'ALB', 'DynamoDB', 'ECR', 'ECS', 'UserConsumerWeb', 'Route53']",['DynamoDB'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2021
sSa4ikC8-Jc,HMH: Lightweight PCI Compliance Infrastructure on AWS,"Learning company. This video focuses on security w/ PCI Compliance.
    Payment processing uses iframe.
    By offloading payment processing from application to iframe, it only requires PCI complicance for iframe instead of complicated applications.
    Use SNS to monitor data changes in S3 -> why not S3 object lock? -> yes, is considering, but when this arch is designed, there is no object lock.
    Extensibility! The company wants to have more products developed (as in thirdparty_1); having decoupled design makes sure new learning products don't need to worry about PCI compliance.","interactive,control",https://www.youtube.com/watch?v=sSa4ikC8-Jc,Edge,,"['ThirdParty', 'CloudFront', 'SNS', 'AWSConfig', 'WAF', 'UserConsumerWeb', 'S3']","['S3', 'SNS']",2,True,[],0,False,[],0,False,['SNS'],1,True,True,False,True,False,False,True,False,False,2019
u3ZwnulzLnU,SonarSource: Automatic Code Analysis in the Cloud with AWS,,data_ingestion,https://www.youtube.com/watch?v=u3ZwnulzLnU,,,"['SQS', 'Lambda', 'UserCompanyDeveloper', 'ThirdParty', 'Fargate', 'Aurora', 'EC2']","['Fargate', 'Lambda', 'SQS']",3,True,['Lambda'],1,True,['Fargate'],1,True,[],0,False,False,False,True,True,True,False,False,False,2022
WZ4YL4Z177Q,Delhivery: Building a Supply Chain Technology Platform for Speed  Network Optimization,"100M events.
    Supply chain technology company's platform for a variety of tasks.
    It seems most of their architecture is geared towards capturing events originating from their app and storing/distributing them.
    They also provide ApiGateway access to their database.","data_ingestion,interactive",https://www.youtube.com/watch?v=WZ4YL4Z177Q,,,"['OpenSearch', 'Lambda', 'RDS', 'ApiGateway', 'SNS', 'Kinesis', 'ECS', 'UserConsumerWebMobile', 'EC2', 'UserConsumerAPI', 'S3']","['APIGateway', 'Lambda', 'S3', 'SNS']",4,True,['Lambda'],1,True,[],0,False,['SNS'],1,True,False,False,True,True,False,True,False,False,2019
hMK2NJ-q9nc,WarnerMedia: Cloudbased Linear Playout System,"Videos uploaded to S3 using Aspera
    Videos in S3 transferred to EC2 after registered with Evertz Mediator
    There are three EC2 instances, each storing 10 channels in primary-backup fashion
    Files in EC2 are played out through Evertz Playtime
    Auto changeover switch used to switch between Techwood playout, CNN playout and cloud playout on premise
    CloudFormation used to create a repeatable process of deployment (40 YAML files now)
    The system achieves 5-9 availability
    Using Cloudbridge for latency and connection between AWS and on-premise
    Future: switch between live and pre-recorded content; do compression in cloud rather than on-prem",compute_intensive,https://www.youtube.com/watch?v=hMK2NJ-q9nc,Edge,Edge,"['UserCompanyEdge', 'UserCompanyDataStream', 'CloudFormation', 'EC2', 'DirectConnect', 'S3']",['S3'],1,True,[],0,False,[],0,False,[],0,False,True,False,True,False,False,False,False,True,2020
EW4X5z7m-0U,Vanguard: A Modern Network TAP Solution for The Cloud,"Video is about network taps and related security.
    Tap: capture network traffic and send it somewhere else to use for analytics.
    Capture all the AWS traffic and send it to the legacy on-premise system.
    This video is a lot more detailed compared to other videos in the series.
    Multiple accounts are being used in this architecture.
    (ELB, EC2) represent an application account. There are many such applications.
    (Kinesis, DynamoDB) are in the security account. The two accounts interact via PrivateLink.
    Lambda@Edge is used to extract the layer 3 network info of a packet, because in later hops this info gets lost. This info is key for analytics.
    2 EC2 servers. First terminates the encrypted connection.
    Second makes Use of loopback intf. The traffic is therefore not leaving the EC2. An agent sniffs the loopback data and captures data unencrypted.
    Agent batches all data and sends to Kinesis over a PrivateLink (cross account communication through PrivateLink).
    Scaling is manual. They configure number of shards in Kinesis based on observed traffic volume.
    Handling ordering of traffic in Kinesis. All packets representing a single session must stay on a single shard. Same session - same port, so use port as hashkey for kinesis stream!
    Legacy consumers spread across mutliple datacenters. (Primary-Backup kind)
    DynamoDB is being used as sort of a locking mechanism for graceful failover. Legacy systems stay in sync with DynamoDB, so failures can be detected and failovers can be done easily.",data_ingestion,https://www.youtube.com/watch?v=EW4X5z7m-0U,Edge,,"['Lambda', 'PrivateLink', 'CloudFront', 'ELB', 'ThirdParty', 'UserConsumerWeb', 'Kinesis', 'DynamoDB', 'EC2']","['DynamoDB', 'Lambda']",2,True,['Lambda'],1,True,[],0,False,[],0,False,True,False,True,True,False,False,False,False,2019
7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),for scalable architecture. 300000 requests per minute. Cloud front as CDN to deliver static content. 60 load balancers. Load balancers here are also used to gradually move from monolithic to micro service architecture. 250+ micro services with 1400 pods.,interactive,https://www.youtube.com/watch?v=7wBOFcP1HwA,Edge,,"['CloudWatch', 'Lambda', 'RDS', 'ThirdParty', 'CloudFront', 'ELB', 'EKS', 'UserConsumerWeb', 'S3']","['Lambda', 'S3']",2,True,['Lambda'],1,True,[],0,False,[],0,False,True,False,True,True,False,False,False,False,2022
7dtomip_VXc,Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),"mobile gaming industry. 1000 containers being used. backend. they develop servers for the game. millions of users. heavy traffice, need autoscaling.EC2 instances with a startup event by Cloudwatch. Uses lambda to control number of ec2 instances. scale in 2 mins after detection.concurrent connectivity. million requests per minute - high load. 700 containers.5 different kinds of stress tests. performance, overload, scaling, fallover, long-run.have an auto-recovery system in place. handles unprecedented traffic.further improvements: automatic stress tests.",interactive,https://www.youtube.com/watch?v=7dtomip_VXc,,,"['CloudWatch', 'ElastiCache', 'AutoScaling', 'Lambda', 'ALB', 'Aurora', 'UserConsumerMobile', 'ECS']",['Lambda'],1,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2020
F4KDOGNpSoI,Pernod Ricard: Shortening URLs on a Global Scale with Low Latency French,"Low latency URL shortening service.
    Video describes both the query, log management, and admin pipelines.
    They started with a proprietary solution but then built their AWS based architecture which is cost efficient.
    Transformation Lambda: converts IP to country, parses data like type of device, etc.","data_ingestion,interactive",https://www.youtube.com/watch?v=F4KDOGNpSoI,Edge,Edge,"['Athena', 'Glue', 'Lambda', 'RDS', 'ApiGateway', 'UserCompanyDeveloper', 'CloudFront', 'LambdaAtEdge', 'DynamoDB', 'UserConsumerMobile', 'Firehose', 'S3']","['APIGateway', 'DynamoDB', 'Lambda', 'S3']",4,True,"['Lambda', 'LambdaAtEdge']",2,True,[],0,False,[],0,False,True,False,True,True,False,False,False,True,2020
l3f29v3IJGA,Arvind Internet: Building a Multichannel Multitenant Platform with Kubernetes on AWS,"B2B SaaS. 6k offline stores.
    Multi-data-stores: transactional data is stored in MySQL, non-transactional data is stored in Cassandra (but the graph only shows RDS).
    At peak season, the load can scale by 5x. Use vertical and horizontal scaling; for containers, use horizontal power scaling and EC2 scaling. 3-5M active sessions.

    WAF helps avoid bots and DDOS attacks
    API Gateway also used for throttling of traffice between microservices
    Transactional data (large inventory of brands and commerce) stored in MySQL; nontransactional data (eg. clickthrough) stored in Cassandra; several terabytes overall
    Code managed on bit bucket and fabricator, packaged and processed using jenkins
    Horizontal power scaling, ec2 scaling for containers
    3-5 million active sessions at any given point of time during peak season
    Planning to build data lake",interactive,https://www.youtube.com/watch?v=l3f29v3IJGA,,,"['ElastiCache', 'RDS', 'ApiGateway', 'ALB', 'ECR', 'WAF', 'EC2']",['APIGateway'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2019
WYK-smWKywA,SGX: Building & Securing a One Stop App for Retail Investors on AWS,seamless scaling to deal with the request load,interactive,https://www.youtube.com/watch?v=WYK-smWKywA,Edge,Edge,"['ElastiCache', 'Lambda', 'ApiGateway', 'ThirdParty', 'CloudFront', 'ELB', 'LambdaAtEdge', 'WAF', 'UserConsumerMobile', 'EC2', 'S3']","['APIGateway', 'Lambda', 'S3']",3,True,"['Lambda', 'LambdaAtEdge']",2,True,[],0,False,[],0,False,True,False,True,True,False,False,False,True,2021
nflGdpwbf54,Vertex Pharmaceuticals: A Serverless Platform for Small Molecule Search,,compute_intensive,https://www.youtube.com/watch?v=nflGdpwbf54,,,"['Lambda', 'RDS', 'AmazonMQ', 'ApiGateway', 'Fargate', 'ECS', 'UserConsumerWeb', 'S3']","['APIGateway', 'Fargate', 'Lambda', 'S3']",4,True,['Lambda'],1,True,['Fargate'],1,True,[],0,False,False,False,True,True,True,False,False,False,2022
IV3KuMGVNXI,Deep Instinct: Collecting RT Statistics and Applying RT Decisions with Lambda@Edge,deep learning to cybersecurity. to prevent zero data attacks. real-time statistics - cloudfront not good for it. why dynamo db? easy simple to use.,interactive,https://www.youtube.com/watch?v=IV3KuMGVNXI,Edge,Edge,"['UserCompanyAgent', 'CloudFront', 'LambdaAtEdge', 'DynamoDB', 'S3']","['DynamoDB', 'S3']",2,True,['LambdaAtEdge'],1,True,[],0,False,[],0,False,True,False,True,True,False,False,False,True,2020
nvhG60gFbso,JFrog: Distribute Software Artifacts securely using SaaS Solutions,use of secure components for private artifactory accessLess public components - less latencyRunning everything on one region - so cost for traffic is less expensiveAvailable on AWS Market place,interactive,https://www.youtube.com/watch?v=nvhG60gFbso,,,"['VPC', 'TransitGateway', 'RDS', 'PrivateLink', 'ThirdParty', 'EKS', 'NLB', 'EC2', 'DirectConnect', 'S3']",['S3'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2021
iKYvG5aiIn8,TrueBlue: Scaling Job Matching with a Serverless Delta Lake,,data_ingestion,https://www.youtube.com/watch?v=iKYvG5aiIn8,,,"['SQS', 'Glue', 'StepFunctions', 'EventBridge', 'UserCompanyAnalyst', 'ThirdParty', 'DMS', 'S3']","['EventBridge', 'S3', 'SQS', 'StepFunctions']",4,True,[],0,False,[],0,False,['EventBridge'],1,True,False,False,True,False,False,True,False,False,2022
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,rendering as a service (RaaS). used gpu based spot instances.api gateway for what kind of subscription user has. based on spot instances. how is high availability maintained? multiple availability zones. instance types in autoscaling groups.billion of videos yearly. highly available service - scaling mechanism reliant on cloudwatch metrics with lambda triggered by step func every 15 seconds. talks to ec2 if need to increase instance. AWS ASG - specific instance types to specific weights.,"compute_intensive,interactive",https://www.youtube.com/watch?v=6CgqEzyWpeA,Edge+HPC,Edge+HPC,"['CloudWatch', 'SQS', 'StepFunctions', 'Lambda', 'ApiGateway', 'CloudFront', 'UserConsumerWebMobile', 'EC2', 'S3']","['APIGateway', 'Lambda', 'S3', 'SQS', 'StepFunctions']",5,True,['Lambda'],1,True,[],0,False,[],0,False,True,True,True,True,False,False,False,True,2020
yPJf85tjv6M,HK01: Serverless Analytics for Clickstreams Analysis (Cantonese),"data analytics, crowdfunding etc. wanted to reduce maintainence time. why alb? api domain more versatile but use cases of company limited so cost imp.",data_ingestion,https://www.youtube.com/watch?v=yPJf85tjv6M,,,"['Athena', 'Glue', 'Lambda', 'Firehose', 'ThirdParty', 'ALB', 'RedShift', 'UserConsumerWeb', 'S3']","['Lambda', 'S3']",2,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2020
-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,"Business challenge: knowing where the sensitive data is, and protect the sensitive data
    Sensitive data includes member information, like social security number, gov id
    For critical information (eg. SSN), Macie's accuracy is 95%",data_ingestion,https://www.youtube.com/watch?v=-kA0ahrhX3I,,,"['Glue', 'S3', 'UserCompanyDeveloper', 'ThirdParty', 'Macie', 'QuickSight', 'Athena']",['S3'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2023
PBa68gCG0Uk,Launchmetrics: How Launchmetrics Produces Fashion Luxury and Beauty Data Insights for 1B Users,"Processing 8M posts, 70M comments, and other data about fashion products and get insights out.
    EC2 Spot Instances why? Mostly to cut costs since EC2 costs are about 75% of the total cost.
    Kinesis and SQS allow resumption of operation if something (on the EC2s) terminates in between.
    Plan to move EC2 instances to containers using ECS.",data_ingestion,https://www.youtube.com/watch?v=PBa68gCG0Uk,,,"['OpenSearch', 'SQS', 'ThirdParty', 'Kinesis', 'Aurora', 'EC2']",['SQS'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2023
OuQvFd44vw4,econda GmbH: Building a RealTime Personalization Engine with Amazon Sagemaker and AWS ECS,"Econda handles requests coming from websites, stores them, allows users to perform analytics on them.
    Perform daily automated training for each client and allow realtime inference afterwards.
    Interestingly they are using SageMaker for only preprocessing and training, not inference.
    For inference they are using ECS where they have pulled only the relevant parts of SageMaker -- this has reduced costs.
    They have their own algorithms, don't use SageMaker's. So it is only used for undifferentiated heavy lifting.
    Not sure how ECR fits into the picture. They mention something about algorithm versioning using image-text in ECR.","compute_intensive,interactive",https://www.youtube.com/watch?v=OuQvFd44vw4,,,"['Lambda', 'S3', 'ThirdParty', 'SageMaker', 'ECR', 'ECS', 'UserCompanyAPI', 'SecretsManager']","['Lambda', 'S3']",2,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2019
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,,interactive,https://www.youtube.com/watch?v=BPvr0qWpJlA,,,"['RDS', 'Lambda', 'UserCompanyCRM', 'UserCompanyAgent', 'UserCompanyDataStream', 'DynamoDB', 'UserConsumerMobile', 'ECS', 'Connect']","['DynamoDB', 'Lambda']",2,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2022
c863uNkF0w4,ENGIE Digital: Using Spot Instances to Optimize Costs for Operations Platform for Energy Assets Fr,"supports zero-carbon transition. around 15 million messages per day. aim to reach 500 mill messages in the next 2-3 years.
    cloud formation is used to automate entire architecture. each env is made up of 70 stacks. deployed across the globe.
    parameter store used for configuration of containers. auto scaling used for cost control with spot. use fleet of different instances, 
    so if one goes down atleast one is up.
    availability?",data_ingestion,https://www.youtube.com/watch?v=c863uNkF0w4,Edge,Edge,"['SystemsManager', 'UserConsumerEdge', 'CloudFormation', 'ApiGateway', 'Kinesis', 'ECS', 'EC2', 'UserConsumerAPI', 'S3']","['APIGateway', 'S3']",2,True,[],0,False,[],0,False,[],0,False,True,False,True,False,False,False,False,True,2020
